Date,Time,GLOBAL.Flow1,GLOBAL.Volume1,GLOBAL.waterlevel
1/07/2019,0:05:36,0,2425374,0
1/07/2019,1:05:36,0.1875,2425374,0
1/07/2019,2:05:36,0.025,2425374,0
1/07/2019,3:05:36,0.1875,2425374,0
1/07/2019,4:05:36,0.1875,2425374,0
1/07/2019,5:05:36,0.025,2425374,0
1/07/2019,6:05:36,0,2425374,0
1/07/2019,7:05:36,0,2425374,0
1/07/2019,8:05:36,0.025,2425374,0
1/07/2019,9:05:36,0,2425374,0
1/07/2019,10:05:36,0.025,2425374,0
1/07/2019,11:05:36,0.1875,2425374,0
1/07/2019,12:05:36,0,2425374,0
1/07/2019,13:05:36,0.1875,2425374,0
1/07/2019,14:05:36,0,2425374,0
1/07/2019,15:05:36,0.025,2425374,0
1/07/2019,16:05:36,0.1875,2425374,0
1/07/2019,17:05:36,0,2425374,0
1/07/2019,18:05:36,0,2425374,0
1/07/2019,19:05:36,0,2425374,0
1/07/2019,20:05:36,0,2425374,0
1/07/2019,21:05:36,0.025,2425374,0
1/07/2019,22:05:36,0.1875,2425374,0
1/07/2019,23:05:36,0,2425374,0
2/07/2019,0:05:36,0.025,2425374,0
2/07/2019,1:05:36,0,2425374,0
2/07/2019,2:05:36,0.025,2425374,0
2/07/2019,3:05:36,0.025,2425374,0
2/07/2019,4:05:36,0,2425374,0
2/07/2019,5:05:36,0,2425374,0
2/07/2019,6:05:36,0,2425374,0
2/07/2019,7:05:36,0,2425374,0
2/07/2019,8:05:36,0,2425374,0
2/07/2019,9:05:36,0.025,2425374,0
2/07/2019,10:05:36,0.1875,2425374,0
2/07/2019,11:05:36,0,2425374,0
2/07/2019,12:05:36,0,2425374,0
2/07/2019,13:05:36,0,2425374,0
2/07/2019,14:05:36,0,2425374,0
2/07/2019,15:05:36,0.025,2425374,0
2/07/2019,16:05:36,0,2425374,0
2/07/2019,17:05:36,0,2425374,0
2/07/2019,18:05:36,0,2425374,0
2/07/2019,19:05:36,0,2425374,0
2/07/2019,20:05:36,0,2425374,0
2/07/2019,21:05:36,0,2425374,0
2/07/2019,22:05:36,0.025,2425374,0
2/07/2019,23:05:36,0,2425374,0
3/07/2019,0:05:36,0.025,2425374,0
3/07/2019,1:05:36,0,2425374,0
3/07/2019,2:05:36,0,2425374,0
3/07/2019,3:05:36,0,2425374,0
3/07/2019,4:05:36,0,2425374,0
3/07/2019,5:05:36,0.025,2425374,0
3/07/2019,6:05:36,0,2425374,0
3/07/2019,7:05:36,0,2425374,0
3/07/2019,8:05:36,0.025,2425374,0
3/07/2019,9:05:36,0.1875,2425374,0
3/07/2019,10:05:36,0.025,2425374,0
3/07/2019,11:05:36,0,2425374,0
3/07/2019,12:05:36,0,2425374,0
3/07/2019,13:05:36,0,2425374,0
3/07/2019,14:05:36,0.1875,2425374,0
3/07/2019,15:05:36,0.1875,2425374,0
3/07/2019,15:23:56,2.1025,2425374,0
3/07/2019,16:23:56,0.1875,2425374,0
3/07/2019,17:23:56,0,2425374,0
3/07/2019,18:23:56,0.1875,2425374,0
3/07/2019,19:23:56,0,2425374,0
3/07/2019,19:54:25,2.425,2425374,0
3/07/2019,20:54:25,0.1875,2425374,0
3/07/2019,21:54:25,0,2425374,0
3/07/2019,22:54:25,0.025,2425374,0
3/07/2019,23:54:25,0.025,2425374,0
